"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2024*"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Reimerswaal";"9,4";"100";"3,6";"384,8";"162,3"
"Renkum";"14,9";"100";"6,7";"447,6";"235,6"
"Renswoude";"2,2";"100";"1,4";"603,1";"329,7"
"Reusel-De Mierden";"5,8";"100";"3,1";"528,7";"368,7"
"Rheden";"21,3";"100";"6,5";"306,1";"127,8"
"Rhenen";"8,5";"100";"4,0";"475,5";"245,0"
"Ridderkerk";"21,3";"100";"6,1";"287,1";"127,3"
"Rijssen-Holten";"14,7";"100";"8,1";"552,9";"241,4"
"Rijswijk (ZH.)";"28,6";"100";"7,1";"247,1";"77,3"
"Roerdalen";"9,5";"100";"3,1";"323,3";"205,5"
"Roermond";"29,3";"100";"6,7";"229,7";"91,0"
"De Ronde Venen";"19,8";"100";"11,9";"597,7";"302,8"
"Roosendaal";"35,7";"100";"9,1";"255,3";"127,8"
"Rotterdam";"333,3";"100";"63,7";"191,2";"12,7"
"Rozendaal";"0,7";"100";"0,8";"1127,1";"594,3"
"Rucphen";"10,3";"100";"3,7";"362,0";"213,4"
"Schagen";"21,4";"100";"8,2";"384,7";"219,9"
"Scherpenzeel";"4,2";"100";"1,7";"414,0";"273,3"
"Schiedam";"38,2";"100";"7,3";"191,8";"48,6"
"Schiermonnikoog";"0,6";"100";"0,3";"508,1";"210,7"
"Schouwen-Duiveland";"16,0";"100";"7,3";"456,7";"222,2"
"Simpelveld";"4,9";"100";"1,2";"253,1";"146,3"
"Sint-Michielsgestel";"12,5";"100";"6,8";"545,2";"342,4"
"Sittard-Geleen";"45,8";"100";"9,6";"209,9";"97,4"
"Sliedrecht";"10,9";"100";"3,0";"274,1";"142,9"
"Sluis";"11,3";"100";"4,9";"438,3";"225,0"
"Smallingerland";"25,7";"100";"6,1";"239,1";"119,7"
"Soest";"21,1";"100";"9,5";"450,9";"251,4"
"Someren";"8,5";"100";"4,2";"493,7";"285,8"
"Son en Breugel";"7,6";"100";"4,0";"530,7";"323,7"
"Stadskanaal";"14,7";"100";"3,3";"226,3";"107,8"
"Staphorst";"6,3";"100";"3,3";"520,0";"314,8"
"Stede Broec";"9,5";"100";"3,2";"337,2";"208,9"
"Steenbergen";"11,0";"100";"3,8";"348,0";"177,9"
"Steenwijkerland";"20,2";"100";"6,6";"326,5";"165,4"
"Stein (L.)";"11,6";"100";"3,0";"260,3";"188,7"
"Stichtse Vecht";"29,0";"100";"15,3";"528,1";"238,0"
"Súdwest-Fryslân";"40,9";"100";"12,9";"316,5";"158,3"
"Terneuzen";"26,2";"100";"6,7";"255,4";"131,8"
"Terschelling";"2,6";"100";"1,1";"423,9";"207,1"
"Texel";"6,7";"100";"3,3";"491,6";"289,8"
"Teylingen";"16,6";"100";"8,5";"515,0";"267,7"
"Tholen";"11,1";"100";"3,4";"311,3";"165,9"
"Tiel";"19,0";"100";"4,8";"251,0";"116,2"
"Tilburg";"113,0";"100";"23,5";"208,0";"43,7"
"Tubbergen";"8,4";"100";"4,7";"559,3";"350,9"
"Twenterand";"13,5";"100";"4,4";"324,0";"196,8"
"Tynaarlo";"14,7";"100";"6,7";"455,6";"286,3"
"Tytsjerksteradiel";"13,9";"100";"4,2";"301,8";"194,0"
"Uitgeest";"5,7";"100";"2,4";"414,2";"307,6"
"Uithoorn";"13,7";"100";"4,7";"345,3";"200,9"
"Urk";"6,8";"100";"2,7";"400,7";"226,7"
"Utrecht (gemeente)";"189,2";"100";"50,3";"266,0";"30,3"
"Utrechtse Heuvelrug";"22,1";"100";"12,1";"547,8";"302,4"
"Vaals";"5,0";"100";"1,2";"232,6";"85,7"
"Valkenburg aan de Geul";"7,9";"100";"2,6";"325,2";"189,8"
"Valkenswaard";"14,8";"100";"5,2";"353,7";"179,6"
"Veendam";"12,8";"100";"2,4";"188,7";"91,5"
"Veenendaal";"29,5";"100";"9,1";"309,2";"178,4"
"Veere";"9,7";"100";"5,7";"585,0";"354,0"
"Veldhoven";"20,8";"100";"9,0";"433,6";"274,2"
"Velsen";"31,6";"100";"10,3";"327,0";"169,3"
"Venlo";"48,9";"100";"11,5";"234,2";"104,4"
"Venray";"20,1";"100";"6,4";"319,5";"166,2"
"Vijfheerenlanden";"25,3";"100";"9,2";"363,4";"195,0"
"Vlaardingen";"35,9";"100";"6,5";"180,1";"48,0"
"Vlieland";"0,7";"100";"0,3";"442,4";"33,2"
"Vlissingen";"22,9";"100";"4,4";"193,6";"79,8"
