"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2022"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Nieuwkoop";"12,1";"100";"6,2";"514,7";"286,8"
"Nijkerk";"18,0";"100";"8,0";"444,3";"264,6"
"Nijmegen";"95,2";"100";"19,4";"203,3";"21,4"
"Nissewaard";"39,0";"100";"7,1";"182,3";"107,3"
"Noardeast-Fryslân";"19,8";"100";"5,4";"274,0";"159,9"
"Noord-Beveland";"3,7";"100";"1,4";"375,4";"182,1"
"Noordenveld";"14,0";"100";"5,3";"379,1";"242,5"
"Noordoostpolder";"19,8";"100";"7,0";"351,3";"134,4"
"Noordwijk";"20,0";"100";"11,2";"559,4";"264,4"
"Nuenen, Gerwen en Nederwetten";"10,3";"100";"5,1";"495,7";"340,1"
"Nunspeet";"11,2";"100";"4,7";"421,7";"238,2"
"Oegstgeest";"10,9";"100";"7,2";"663,9";"389,0"
"Oirschot";"8,0";"100";"4,4";"551,0";"390,8"
"Oisterwijk";"14,1";"100";"8,7";"617,8";"316,4"
"Oldambt";"18,3";"100";"4,0";"216,6";"106,0"
"Oldebroek";"9,4";"100";"3,3";"355,4";"243,1"
"Oldenzaal";"14,1";"100";"4,2";"298,8";"152,1"
"Olst-Wijhe";"7,7";"100";"2,9";"379,8";"233,4"
"Ommen";"7,7";"100";"3,1";"409,1";"245,5"
"Oost Gelre";"12,5";"100";"4,0";"315,6";"195,6"
"Oosterhout";"25,3";"100";"8,2";"322,7";"155,1"
"Ooststellingwerf";"11,4";"100";"3,3";"291,6";"177,7"
"Oostzaan";"4,1";"100";"2,0";"489,9";"349,1"
"Opmeer";"5,2";"100";"2,0";"381,9";"255,9"
"Opsterland";"12,6";"100";"4,2";"332,9";"212,8"
"Oss";"41,5";"100";"12,7";"304,9";"160,1"
